starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 29 13:43:19 2020	1603939399	22	297	319	297
Thu Oct 29 13:43:15 2020	1603939395	22	299	320	299
Thu Oct 29 13:43:13 2020	1603939393	20	301	321	301
Thu Oct 29 13:42:38 2020	1603939358	23	301	323	301
Thu Oct 29 13:43:19 2020	1603939399	20	303	323	303
Thu Oct 29 13:42:53 2020	1603939373	20	303	324	303
Thu Oct 29 13:42:45 2020	1603939365	20	303	324	303
Thu Oct 29 13:42:48 2020	1603939368	23	301	324	301
Thu Oct 29 13:43:00 2020	1603939380	22	302	324	302
Thu Oct 29 13:43:17 2020	1603939397	21	304	325	304
Thu Oct 29 13:42:54 2020	1603939374	22	303	325	303
Thu Oct 29 13:43:13 2020	1603939393	20	305	325	305
Thu Oct 29 13:42:52 2020	1603939372	20	305	325	305
Thu Oct 29 13:42:53 2020	1603939373	21	304	325	304
Thu Oct 29 13:42:55 2020	1603939375	20	306	325	306
Thu Oct 29 13:43:20 2020	1603939400	24	302	326	302
Thu Oct 29 13:42:37 2020	1603939357	21	305	326	305
Thu Oct 29 13:43:19 2020	1603939399	23	303	326	303
Thu Oct 29 13:43:13 2020	1603939393	21	305	326	305
Thu Oct 29 13:43:01 2020	1603939381	22	304	326	304
Thu Oct 29 13:43:00 2020	1603939380	22	304	326	304
Thu Oct 29 13:43:11 2020	1603939391	21	305	326	305
Thu Oct 29 13:42:32 2020	1603939352	20	306	326	306
Thu Oct 29 13:43:11 2020	1603939391	21	306	327	306
Thu Oct 29 13:43:11 2020	1603939391	22	305	327	305
Thu Oct 29 13:43:16 2020	1603939396	23	304	327	304
Thu Oct 29 13:42:42 2020	1603939362	20	308	327	307
Thu Oct 29 13:42:57 2020	1603939377	21	306	327	306
Thu Oct 29 13:43:17 2020	1603939397	22	306	328	306
Thu Oct 29 13:42:58 2020	1603939378	23	304	328	304
Thu Oct 29 13:42:39 2020	1603939359	21	307	328	307
Thu Oct 29 13:42:38 2020	1603939358	21	307	328	307
Thu Oct 29 13:42:38 2020	1603939358	22	306	328	306
Thu Oct 29 13:42:33 2020	1603939353	20	308	328	308
Thu Oct 29 13:42:40 2020	1603939360	20	308	328	308
Thu Oct 29 13:42:48 2020	1603939368	21	307	328	307
Thu Oct 29 13:42:50 2020	1603939370	20	308	329	308
Thu Oct 29 13:42:56 2020	1603939376	21	307	329	307
Thu Oct 29 13:42:40 2020	1603939360	20	309	329	309
Thu Oct 29 13:42:57 2020	1603939377	24	305	329	305
Thu Oct 29 13:43:17 2020	1603939397	23	306	329	306
Thu Oct 29 13:42:37 2020	1603939357	21	308	329	308
Thu Oct 29 13:43:09 2020	1603939389	21	308	329	308
Thu Oct 29 13:43:15 2020	1603939395	24	305	329	305
Thu Oct 29 13:43:16 2020	1603939396	20	309	329	309
Thu Oct 29 13:42:42 2020	1603939362	23	306	329	306
Thu Oct 29 13:42:59 2020	1603939379	23	306	329	306
Thu Oct 29 13:42:54 2020	1603939374	22	307	329	307
Thu Oct 29 13:42:52 2020	1603939372	20	309	329	309
Thu Oct 29 13:42:39 2020	1603939359	20	309	329	309
Thu Oct 29 13:42:45 2020	1603939365	22	308	330	308
Thu Oct 29 13:42:42 2020	1603939362	21	309	330	309
Thu Oct 29 13:42:59 2020	1603939379	21	309	330	309
Thu Oct 29 13:42:56 2020	1603939376	23	307	330	307
Thu Oct 29 13:43:10 2020	1603939390	20	310	330	310
Thu Oct 29 13:42:45 2020	1603939365	22	308	330	308
Thu Oct 29 13:42:44 2020	1603939364	21	310	330	309
Thu Oct 29 13:42:57 2020	1603939377	20	310	330	310
Thu Oct 29 13:42:33 2020	1603939353	20	310	330	310
Thu Oct 29 13:43:01 2020	1603939381	22	308	330	308
Thu Oct 29 13:42:52 2020	1603939372	20	310	330	310
Thu Oct 29 13:42:43 2020	1603939363	22	309	330	309
Thu Oct 29 13:42:33 2020	1603939353	22	309	331	309
Thu Oct 29 13:42:51 2020	1603939371	21	310	331	310
Thu Oct 29 13:42:54 2020	1603939374	21	310	331	310
Thu Oct 29 13:42:49 2020	1603939369	23	308	331	308
Thu Oct 29 13:42:49 2020	1603939369	25	306	331	306
Thu Oct 29 13:43:12 2020	1603939392	21	310	331	309
Thu Oct 29 13:42:38 2020	1603939358	20	311	331	311
Thu Oct 29 13:42:40 2020	1603939360	21	310	331	310
Thu Oct 29 13:43:16 2020	1603939396	21	311	331	311
Thu Oct 29 13:43:10 2020	1603939390	21	310	331	310
Thu Oct 29 13:43:19 2020	1603939399	21	310	332	310
Thu Oct 29 13:42:53 2020	1603939373	24	308	332	308
Thu Oct 29 13:42:52 2020	1603939372	22	310	332	310
Thu Oct 29 13:42:57 2020	1603939377	21	310	332	310
Thu Oct 29 13:42:36 2020	1603939356	21	311	332	311
Thu Oct 29 13:42:57 2020	1603939377	29	303	332	303
Thu Oct 29 13:42:56 2020	1603939376	21	311	332	311
Thu Oct 29 13:43:02 2020	1603939382	26	306	332	306
Thu Oct 29 13:43:19 2020	1603939399	20	312	332	312
Thu Oct 29 13:42:54 2020	1603939374	21	311	332	311
Thu Oct 29 13:43:11 2020	1603939391	25	308	332	308
Thu Oct 29 13:42:54 2020	1603939374	24	308	332	308
Thu Oct 29 13:42:39 2020	1603939359	20	312	332	312
Thu Oct 29 13:42:40 2020	1603939360	20	313	332	313
Thu Oct 29 13:43:11 2020	1603939391	22	310	333	310
Thu Oct 29 13:42:50 2020	1603939370	20	312	333	312
Thu Oct 29 13:42:33 2020	1603939353	22	311	333	311
Thu Oct 29 13:42:58 2020	1603939378	22	310	333	310
Thu Oct 29 13:42:30 2020	1603939350	21	311	333	311
Thu Oct 29 13:43:13 2020	1603939393	20	313	333	313
Thu Oct 29 13:42:24 2020	1603939344	21	312	333	312
Thu Oct 29 13:42:33 2020	1603939353	20	313	333	313
Thu Oct 29 13:42:53 2020	1603939373	20	313	333	313
Thu Oct 29 13:42:36 2020	1603939356	22	311	333	311
Thu Oct 29 13:42:41 2020	1603939361	22	311	333	311
Thu Oct 29 13:43:12 2020	1603939392	20	313	333	313
Thu Oct 29 13:42:44 2020	1603939364	20	313	333	313
Thu Oct 29 13:42:38 2020	1603939358	22	312	334	312
Thu Oct 29 13:42:55 2020	1603939375	21	312	334	312
Thu Oct 29 13:42:27 2020	1603939347	23	311	334	311
Thu Oct 29 13:43:12 2020	1603939392	23	311	334	311
Thu Oct 29 13:42:46 2020	1603939366	20	314	334	313
Thu Oct 29 13:43:14 2020	1603939394	20	314	334	314
Thu Oct 29 13:42:44 2020	1603939364	22	312	334	312
Thu Oct 29 13:42:58 2020	1603939378	23	311	334	311
Thu Oct 29 13:43:15 2020	1603939395	22	312	334	312
Thu Oct 29 13:42:45 2020	1603939365	20	314	334	314
Thu Oct 29 13:42:33 2020	1603939353	22	312	334	312
Thu Oct 29 13:42:20 2020	1603939340	24	311	334	311
Thu Oct 29 13:43:12 2020	1603939392	22	313	335	313
Thu Oct 29 13:42:56 2020	1603939376	21	314	335	314
Thu Oct 29 13:43:10 2020	1603939390	32	303	335	303
Thu Oct 29 13:42:58 2020	1603939378	20	314	335	314
Thu Oct 29 13:43:18 2020	1603939398	22	313	335	313
Thu Oct 29 13:42:39 2020	1603939359	21	314	335	314
Thu Oct 29 13:43:08 2020	1603939388	29	306	335	306
Thu Oct 29 13:42:33 2020	1603939353	24	311	335	311
Thu Oct 29 13:42:32 2020	1603939352	21	314	335	314
Thu Oct 29 13:42:41 2020	1603939361	22	313	335	313
Thu Oct 29 13:43:14 2020	1603939394	22	313	335	313
Thu Oct 29 13:42:39 2020	1603939359	20	315	335	315
Thu Oct 29 13:43:03 2020	1603939383	23	312	335	311
Thu Oct 29 13:42:28 2020	1603939348	21	315	336	315
Thu Oct 29 13:42:35 2020	1603939355	21	315	336	315
Thu Oct 29 13:42:28 2020	1603939348	25	311	336	311
Thu Oct 29 13:42:37 2020	1603939357	23	313	336	313
Thu Oct 29 13:42:27 2020	1603939347	22	313	336	313
Thu Oct 29 13:42:44 2020	1603939364	22	314	336	314
Thu Oct 29 13:43:09 2020	1603939389	21	315	336	315
Thu Oct 29 13:42:41 2020	1603939361	20	316	336	316
Thu Oct 29 13:42:51 2020	1603939371	22	314	336	314
Thu Oct 29 13:42:50 2020	1603939370	20	316	336	316
Thu Oct 29 13:43:10 2020	1603939390	27	309	336	309
Thu Oct 29 13:42:13 2020	1603939333	26	310	336	310
Thu Oct 29 13:42:43 2020	1603939363	27	309	336	309
Thu Oct 29 13:43:09 2020	1603939389	24	312	336	312
Thu Oct 29 13:42:42 2020	1603939362	20	316	337	316
Thu Oct 29 13:43:03 2020	1603939383	23	314	337	314
Thu Oct 29 13:42:41 2020	1603939361	24	313	337	313
Thu Oct 29 13:42:29 2020	1603939349	21	315	337	315
Thu Oct 29 13:43:16 2020	1603939396	20	317	337	316
Thu Oct 29 13:42:38 2020	1603939358	20	316	337	316
Thu Oct 29 13:42:53 2020	1603939373	22	315	337	315
Thu Oct 29 13:43:19 2020	1603939399	24	312	337	312
Thu Oct 29 13:42:35 2020	1603939355	23	314	337	314
Thu Oct 29 13:42:22 2020	1603939342	22	315	337	315
Thu Oct 29 13:43:07 2020	1603939387	24	313	337	313
Thu Oct 29 13:43:07 2020	1603939387	32	305	337	305
Thu Oct 29 13:43:15 2020	1603939395	24	313	337	313
Thu Oct 29 13:42:51 2020	1603939371	22	315	337	315
Thu Oct 29 13:42:21 2020	1603939341	22	315	337	315
Thu Oct 29 13:43:03 2020	1603939383	31	307	337	306
Thu Oct 29 13:42:20 2020	1603939340	21	316	337	316
Thu Oct 29 13:42:43 2020	1603939363	21	316	337	316
Thu Oct 29 13:43:09 2020	1603939389	20	317	337	317
Thu Oct 29 13:43:14 2020	1603939394	22	315	337	315
Thu Oct 29 13:43:06 2020	1603939386	23	315	337	315
Thu Oct 29 13:42:42 2020	1603939362	22	316	337	316
Thu Oct 29 13:42:36 2020	1603939356	21	317	338	316
Thu Oct 29 13:42:46 2020	1603939366	22	316	338	316
Thu Oct 29 13:42:28 2020	1603939348	23	315	338	315
