starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 29 12:54:19 2020	1603936459	22	326	348	326
Thu Oct 29 12:54:16 2020	1603936456	21	329	350	329
Thu Oct 29 12:54:20 2020	1603936460	20	333	354	333
Thu Oct 29 12:54:18 2020	1603936458	21	337	358	337
Thu Oct 29 12:54:19 2020	1603936459	21	339	360	339
Thu Oct 29 12:54:17 2020	1603936457	22	338	360	338
Thu Oct 29 12:54:17 2020	1603936457	20	341	361	341
Thu Oct 29 12:54:14 2020	1603936454	22	341	363	341
Thu Oct 29 12:54:20 2020	1603936460	24	338	363	338
Thu Oct 29 12:54:19 2020	1603936459	22	341	363	341
Thu Oct 29 12:54:13 2020	1603936453	23	342	365	342
Thu Oct 29 12:54:18 2020	1603936458	20	345	365	345
Thu Oct 29 12:54:16 2020	1603936456	21	343	365	343
Thu Oct 29 12:54:17 2020	1603936457	21	346	367	346
Thu Oct 29 12:54:14 2020	1603936454	22	345	367	345
Thu Oct 29 12:54:16 2020	1603936456	23	347	370	347
Thu Oct 29 12:54:19 2020	1603936459	23	350	373	349
Thu Oct 29 12:54:18 2020	1603936458	22	353	375	353
Thu Oct 29 12:54:17 2020	1603936457	23	353	376	352
Thu Oct 29 12:54:17 2020	1603936457	38	342	379	342
Thu Oct 29 12:54:15 2020	1603936455	35	372	406	372
Thu Oct 29 12:54:16 2020	1603936456	25	412	437	412
Thu Oct 29 12:54:17 2020	1603936457	21	738	759	738
Thu Oct 29 12:54:18 2020	1603936458	21	738	759	738
Thu Oct 29 12:54:19 2020	1603936459	22	740	762	740
Thu Oct 29 12:54:20 2020	1603936460	26	737	764	737
Thu Oct 29 12:54:19 2020	1603936459	20	749	769	749
Thu Oct 29 12:54:17 2020	1603936457	22	748	771	748
Thu Oct 29 12:54:19 2020	1603936459	23	748	771	748
Thu Oct 29 12:54:18 2020	1603936458	23	748	772	748
Thu Oct 29 12:54:18 2020	1603936458	20	752	772	752
Thu Oct 29 12:54:16 2020	1603936456	23	750	773	750
Thu Oct 29 12:54:19 2020	1603936459	24	749	773	749
Thu Oct 29 12:54:14 2020	1603936454	24	750	774	750
Thu Oct 29 12:54:15 2020	1603936455	27	749	776	749
Thu Oct 29 12:54:18 2020	1603936458	22	758	780	758
Thu Oct 29 12:54:17 2020	1603936457	24	760	783	760
Thu Oct 29 12:54:17 2020	1603936457	22	764	786	764
Thu Oct 29 12:54:18 2020	1603936458	20	767	787	767
Thu Oct 29 12:54:17 2020	1603936457	31	759	790	759
Thu Oct 29 12:54:20 2020	1603936460	21	775	797	775
Thu Oct 29 12:54:19 2020	1603936459	20	789	808	789
Thu Oct 29 12:54:16 2020	1603936456	22	797	819	797
Thu Oct 29 12:54:16 2020	1603936456	24	807	831	807
Thu Oct 29 12:54:13 2020	1603936453	22	810	832	810
Thu Oct 29 12:54:14 2020	1603936454	21	1339	1360	1339
Thu Oct 29 12:54:13 2020	1603936453	22	2306	2328	2306
Thu Oct 29 12:54:13 2020	1603936453	21	2637	2658	2637
Thu Oct 29 12:54:13 2020	1603936453	22	3550	3572	3550
Thu Oct 29 12:54:07 2020	1603936447	25	6298	6323	6298
